,Lat,Long,Month,Day,Year,"Chlorophyll a, total",Divinyl chlorophyll a,Chlorophyll b,19-Hexanoyloxyfucoxanthin,19-Butanoyloxyfucoxanthin,Fucoxanthin,Peridinin,Alloxanthin,Zeaxanthin
3646,31.681,-64.184,3.0,19.0,1997.0,-3.0791138824930395,-8.817706696805912,-5.80914299031399,-4.509860006183756,-5.5214609178622185,-5.80914299031399,-36.7368005696771,-36.7368005696771,-5.607725823654923
3647,31.667,-64.164,4.0,19.0,1998.0,-2.1892564076870413,-4.366323248055633,-6.907755278982026,-4.199705077879919,-5.115995809754064,-5.80914299031399,-6.907755278982026,-36.7368005696771,-3.761839976665545
3648,31.668,-64.087,5.0,20.0,2000.0,-3.506557897319978,-5.769550220607975,-4.509860006183756,-4.422848629194127,-5.80914299031399,-5.80914299031399,-6.907755278982026,-6.907755278982026,-4.835491905669458
3649,31.66,-64.239,8.0,20.0,2001.0,-2.7646205525906025,-5.856782249455067,-5.115995809754064,-4.60517018598808,-5.298317366548014,-5.5214609178622185,-5.80914299031399,-36.7368005696771,-4.774635975834696
3650,31.662,-64.092,3.0,20.0,2002.0,-1.6820086052689351,-3.4518979146311732,-4.710530701645905,-3.35240721749272,-3.7722610630529827,-4.710530701645905,-5.80914299031399,-5.80914299031399,-3.2846726935501653
3651,31.695,-64.216,5.0,20.0,2002.0,-2.8134107167600346,-4.949089335692142,-5.298317366548014,-4.509860006183756,-5.5214609178622185,-5.80914299031399,-6.907755278982026,-36.7368005696771,-4.142893064931261
3652,31.633,-64.253,7.0,20.0,2003.0,-3.4737680744969874,-6.390078953840369,-6.907755278982026,-5.298317366548014,-6.214608098422136,-6.214608098422136,-6.907755278982026,-36.7368005696771,-5.115995809754064
3653,31.64,-64.169,9.0,20.0,2003.0,-2.538307426515114,-3.7699628031452233,-5.5214609178622185,-4.961845129926808,-5.298317366548014,-5.298317366548014,-6.907755278982026,-36.7368005696771,-3.1941832122778266
3654,31.631,-64.216,12.0,20.0,2003.0,-36.7368005696771,-28.66604121895955,-36.7368005696771,-36.7368005696771,-36.7368005696771,-36.7368005696771,-36.7368005696771,-36.7368005696771,-13.536975636383396
3655,31.655,-64.147,1.0,20.0,2004.0,-0.8324092478934527,-5.025867771799284,-3.101092789211815,-2.8647040111475848,-3.218875824868198,-4.199705077879919,-5.5214609178622185,-5.902643145175957,-3.146555163288572
3656,31.672,-64.174,11.0,20.0,2004.0,-2.1892564076870413,-3.5972854830833954,-4.017383521085966,-3.575550768806929,-4.422848629194127,-5.115995809754064,-5.80914299031399,-6.907755278982026,-3.1941832122778266
3657,31.677,-64.13,5.0,20.0,2005.0,-2.9187712324178605,-5.249572703059025,-5.80914299031399,-4.135166556742349,-5.5214609178622185,-5.80914299031399,-6.907755278982026,-6.907755278982026,-4.342805921520592
3658,31.673,-64.198,7.0,20.0,2005.0,-3.2701691192557485,-5.576055170848434,-6.214608098422136,-4.509860006183756,-6.214608098422136,-6.214608098422136,-6.907755278982026,-6.907755278982026,-4.828313737302287
3659,31.681,-64.168,10.0,20.0,2005.0,-3.1235656450638736,-4.977102800511989,-5.80914299031399,-4.268697949366871,-5.298317366548014,-5.80914299031399,-6.907755278982026,-6.907755278982026,-3.963316299815691
